TF,TargetGene,Effect,PMID,DATABASEA,Tissue
TP53,CHEK1,Unknown,11152453,Trrust,"colon,bone,uterus,ovary"
ZNF143,PCYT1A,Activation,14702349,Trrust,"mammarygland,liver,uterus"
ZNF76,PCYT1A,Activation,14702349,Trrust,"mammarygland,liver,uterus"
NFKB1,PCYT2,Unknown,18583706,Trrust,mammarygland
RELA,PCYT2,Unknown,18583706,Trrust,mammarygland
NFKB1,PLA2G2A,Unknown,11899260,Trrust,leukocytes
RELA,PLA2G2A,Unknown,11899260,Trrust,leukocytes
HIRA,PLB1,Repression,9809417,Trrust,stomach
CTNNB1,PLD1,Activation,20442281,Trrust,"mammarygland,thyroidgland,colon,rectum,stomach"
PGR,PLD1,Unknown,21284604,Trrust,"uterus,ovary"
RXRA,PLD1,Unknown,17433303,Trrust,skin
TCF4,PLD1,Activation,20442281,Trrust,"mammarygland,thyroidgland,colon,rectum,stomach"
VDR,PLD1,Unknown,17433303,Trrust,skin
KLF6,ASAH1,Unknown,16500425,Trrust,fibroblasts
ETV4,GBA,Unknown,9272862,Trrust,"bonemarrow,leukocytes"
SP1,SMPD1,Activation,10224156,Trrust,leukocytes
SP1,B4GALT5,Activation,15263012;16873896,Trrust,cns
PPARG,ACAT1,Activation,19049899,Trrust,"heart,vasculature,blood,bonemarrow,leukocytes"
STAT1,ACAT1,Unknown,18000807,Trrust,prostate
FOXA1,ABCA1,Repression,24807696,Trrust,liver
FOXA2,ABCA1,Repression,24807696,Trrust,liver
NFKB1,ABCA1,Repression,17135302,Trrust,"leukocytes,lung"
NR1H2,ABCA1,Activation,16141411,Trrust,"leukocytes,liver"
NR1H3,ABCA1,Activation,11264984;16141411;18580406;19201410,Trrust,"leukocytes,liver"
RELA,ABCA1,Repression,17135302,Trrust,"lung,leukocytes"
RXRA,ABCA1,Activation,14764426,Trrust,"kidney,liver"
SP1,ABCA1,Activation,11264984;17887732,Trrust,liver
SP3,ABCA1,Repression,15922656,Trrust,"adrenalgland,rectum,duodenum,colon,leukocytes,liver"
SREBF2,ABCA1,Repression,15922656;16901265,Trrust,"adrenalgland,rectum,duodenum,colon,leukocytes,liver"
STAT3,ABCA1,Unknown,19783654,Trrust,"leukocytes,liver"
USF1,ABCA1,Activation,11861672,Trrust,"leukocytes,liver"
USF2,ABCA1,Activation,11861672,Trrust,"leukocytes,liver"
ZNF202,ABCA1,Repression,15922656,Trrust,"adrenalgland,rectum,duodenum,colon,leukocytes,liver"
NR1H2,ABCG1,Activation,16141411,Trrust,"leukocytes,liver"
NR1H3,ABCG1,Activation,16141411;18580406,Trrust,"leukocytes,liver"
FOXA2,APOA1,Unknown,7961760,Trrust,liver
GATA6,APOA1,Unknown,14659877,Trrust,liver
HNF4A,APOA1,Unknown,7961760,Trrust,liver
SP1,APOA1,Unknown,10829013,Trrust,liver
HNF4A,APOA2,Unknown,1639815,Trrust,"duodenum,jejunum,colon,rectum,liver"
NR2F1,APOA2,Unknown,1639815,Trrust,"duodenum,jejunum,colon,rectum,liver"
NR2F6,APOA2,Unknown,1639815,Trrust,"duodenum,jejunum,colon,rectum,liver"
USF1,APOA2,Unknown,9880489,Trrust,liver
USF2,APOA2,Unknown,9880489,Trrust,liver
PPARA,APOA4,Unknown,19433068,Trrust,liver
FOXA1,APOB,Activation,8441395,Trrust,liver
HNF4A,APOB,Unknown,1639815,Trrust,liver
NR2F1,APOB,Unknown,1639815,Trrust,liver
NR2F6,APOB,Unknown,1639815,Trrust,liver
PPARA,APOB,Activation,11925428,Trrust,liver
PPARG,APOB,Repression,16542871,Trrust,liver
ATF2,APOC3,Activation,9760243,Trrust,liver
HDAC1,APOC3,Unknown,20516075,Trrust,uterus
HDAC3,APOC3,Unknown,20516075,Trrust,uterus
HNF4A,APOC3,Unknown,1639815;20516075,Trrust,"liver,uterus"
JUN,APOC3,Activation,9760243,Trrust,liver
