TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
ARID3A,AKR1C2,leukocytes,ARID3A IP - K562 cells,,,
CEBPB,AKR1C2,colon,"CEBPB IP, CEBPB IP - HCT116 cells, CEBPB IP | 125DVD3",,,
CTCF,AKR1C2,esophagus,"CTCF IP - HEEpiC cells, Rep 2 , CTCF IP - HEEpiC cells, Rep 1 ",,,
MAX,AKR1C2,colon,MAX IP - HCT116 cells,,,
HEY1,AKR1C2,liver,HEY1 IP - HepG2 cells,,,
SP1,AKR1C2,leukocytes,SP1 IP - K562 cells,,,
ZBTB7A,AKR1C2,liver,ZBTB7A IP - HepG2 cells,,,
ATF3,AKR1C2,colon,ATF3 IP | CAMPTO,,,
MAFK,AKR1C2,leukocytes,"MAFK IP - K562 cells, MAFK IP - K562 cells",,,
GATA2,AKR1C2,cns,GATA2 ChIP-Seq SH-SY5Y,,,
SP1,AKR1C2,lung,SP1 IP - A549 cells,,,
SIX2,AKR1C2,kidney,"SIX2 IP - 17 weeks, Rep 2, SIX2 IP - 17 weeks, Rep 1, SIX2 IP -  16 weeks",,,
CTCF,AKR1C2,vasculature,"CTCF IP - AoAFC cells, Rep 1 , CTCF IP - AoAFC cells, Rep 2 , CTCF IP - HPAF cells, Rep 2 , CTCF IP - HUVEC cells , CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HBMEC cells, Rep 2 , CTCF IP - HPAF cells, Rep 1 , CTCF IP - HUVEC cells, Rep 1 ",,,
CREB1,AKR1C2,lung,"CREB1 IP | DEX - A549 cells, CREB1 IP - A549 cells, Rep 2",,,
DEX,AKR1C2,lung,"CREB1 IP | DEX - A549 cells, FOXA1 IP | DEX - A549 cells, USF1 IP | DEX - A549 cells, CTCF IP | DEX - A549 cells , CTCF IP | DEX - A549 cells",,,
KLF11,AKR1C2,adiposetissue,"KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2",,,
BCL3,AKR1C2,lung,BCL3 IP - A549 cells,,,
CTCF,AKR1C2,kidney,"CTCF IP - RPTEC cells, Rep 2 , CTCF IP - HRE cells, Rep 1 , CTCF IP - HRE cells, Rep 2 , CTCF IP - HEK293 cells, Rep 1 , CTCF IP - RPTEC cells, Rep 1 ",,,
FOS,AKR1C2,mammarygland,"FOS IP | 17BE2, FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, FOS IP | 4HT - MCF10A cells, 12 h",,,
CTCF,AKR1C2,mammarygland,"CTCF IP - MCF7 cells, CTCF IP - HMEC cells, Rep 2 , CTCF IP - HMEC cells , CTCF IP - HMF cells, Rep 1 , CTCF IP - HMEC cells, Rep 1 , CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - HMF cells, Rep 2 , CTCF IP - MCF-7 cells Rep 2 , CTCF IP - T47D cells",,,
MYBL2,AKR1C2,liver,MYBL2 IP - HepG2 cells,,,
MAZ,AKR1C2,leukocytes,MAZ IP - K562 cells,,,
FOXA2,AKR1C2,lung,FOXA2 IP - A549 cells,,,
CEBPB,AKR1C2,leukocytes,"CEBPB IP - Rep 204, CEBPB ChIP-Seq - K562, CEBPB IP - Rep 203, CEBPB IP | oxLDL  - Rep 208, CEBPB IP | oxLDL  - Rep 205, CEBPB IP - K562 cells, CEBPB IP - Rep 201, CEBPB IP| oxLDL  - Rep 207, CEBPB IP | oxLDL  - Rep 206",,,
TEAD4,AKR1C2,liver,TEAD4 IP - HepG2 cells,,,
E2F6,AKR1C2,stemcells,E2F6 IP - H1 cells,,,
CEBPB,AKR1C2,liver,"CEBPB IP | FORSK - HepG2 cells, CEBPB IP - HepG2 cells, CEBPB ChIP-Seq - HepG2",,,
FORSK,AKR1C2,liver,CEBPB IP | FORSK - HepG2 cells,,,
