TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
CTCF,AGMO,adiposetissue,"CTCF ChIP-Seq - d 3, CTCF ChIP-Seq - d 9, CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 0",,,
HEY1,AGMO,liver,HEY1 IP - HepG2 cells,,,
FOS,AGMO,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h",,,
4HT,AGMO,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h",,,
TCF12,AGMO,cns,TCF12 IP - SK-N-SH cells,,,
E2F3,AGMO,colon,E2F3 IP ,,,
CTCF,AGMO,mammarygland,"CTCF IP - HMF cells, Rep 1 , CTCF IP - T47D cells, CTCF IP - MCF7 cells, CTCF IP - HMF cells, Rep 2 ",,,
FOXA1,AGMO,lung,"FOXA1 IP - A549 cells, FOXA1 IP | DEX - A549 cells",,,
FOXA2,AGMO,lung,FOXA2 IP - A549 cells,,,
CTCF,AGMO,miscellaneous,"CTCF IP - AG09319 cells, Rep 2 , CTCF IP - AG09319 cells, Rep 1 ",,,
CEBPB,AGMO,uterus,CEBPB IP - ECC1 cells,,,
JUN,AGMO,mammarygland,JUN IP - Rep 1,,,
FOS,AGMO,vasculature,FOS IP - HUVEC cells,,,
GATA2,AGMO,prostate,"CON KD  | GATA2 ChIP-Seq, FOXA1 KD | GATA2 ChIP-Seq, GATA2 KD  | FOXA1 ChIP-Seq, GATA2 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq, GATA2 ChIP-Seq - Rep 1, GATA2 ChIP-Seq - Rep 2",,,
DEX,AGMO,lung,"CTCF IP | DEX - A549 cells , CTCF IP | DEX - A549 cells, FOXA1 IP | DEX - A549 cells, USF1 IP | DEX - A549 cells",,,
CTCF,AGMO,colon,"CTCF IP - Caco , CTCF IP - HCT116 cells",,,
CEBPB,AGMO,colon,"CEBPB IP, CEBPB IP | 125DVD3",,,
CEBPB,AGMO,leukocytes,"CEBPB ChIP-Seq - K562, CEBPB IP - HL-60 cells, Rep 2 ",,,
TEAD4,AGMO,uterus,TEAD4 IP - ECC1 cells,,,
GATA3,AGMO,mammarygland,GATA3 IP - T47D cells,,,
CTCF,AGMO,megakaryocytelineage,"CTCF IP - MEG-01 cells, Rep 10 , CTCF IP - MEG-01 cells, Rep 8 ",,,
JUND,AGMO,cns,JUND IP - SK-N-SH cells,,,
CTCF,AGMO,esophagus,"CTCF IP - HEEpiC cells, Rep 1 , CTCF IP - HEEpiC cells, Rep 2 ",,,
TEAD1,AGMO,cns,"TEAD1 IP - Rep 1, TEAD1 IP - Rep 2",,,
TNF,AGMO,leukocytes,RELA IP | TNF - GM12878 cells,,,
CREB1,AGMO,prostate,"CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1",,,
JUND,AGMO,liver,JUND IP - HepG2 cells,,,
TEAD4,AGMO,lung,TEAD4 IP - A549 cells,,,
CEBPB,AGMO,liver,CEBPB ChIP-Seq - HepG2,,,
RELA,AGMO,adiposetissue,RELA IP,,,
GATA3,AGMO,lung,GATA3 IP - A549 cells,,,
CEBPB,AGMO,lung,"CEBPB ChIP-Seq - A549, CEBPB IP - A549 cells, CEBPB ChIP-Seq - IMR90",,,
TCF12,AGMO,lung,TCF12 IP - A549 cells,,,
CEBPB,AGMO,mammarygland,CEBPB IP - MCF7 cells,,,
USF1,AGMO,lung,USF1 IP | DEX - A549 cells,,,
TEAD4,AGMO,mammarygland,TEAD4 IP - Rep 1,,,
KLF5,AGMO,pancreas,FOXA1 IP | KLF5 KO,,,
CTCF,AGMO,hspcs,"CTCF IP - HEL 92.1.7 cells, Rep 14 ",,,
JUN,AGMO,vasculature,JUN IP - HUVEC cells,,,
GATA2,AGMO,vasculature,GATA2 IP - HUVEC cells,,,
