TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
CTCF,LIPE,megakaryocytelineage,"CTCF IP - MEG-01 cells, Rep 8 , CTCF IP - CHRF-288-11 cells, Rep 2 , CTCF IP - MEG-01 cells, Rep 6 , CTCF IP - MEG-01 cells, Rep 2 , CTCF IP - CHRF-288-11 cells, Rep 1 , CTCF IP - MEG-01 cells, Rep 4 , CTCF IP - MEG-01 cells, Rep 10 ",,,
CTCF,LIPE,uterus,"CTCF IP - ECC1 cells, CTCF IP - HeLa cells , CTCF IP - HeLa cells, Rep 1 ",,,
CTCF,LIPE,liver,"CTCF IP, CTCF IP - HepG2 cells , CTCF IP - SK-N-SH cells, CTCF IP - HepG2 cells, Rep 2 , CTCF IP - HepG2 cells, Rep 1 ",,,
CEBPB,LIPE,uterus,CEBPB ChIP-Seq - HeLaS3,,,
ELF1,LIPE,liver,ELF1 IP - HepG2 cells,,,
MAX,LIPE,cns,MAX IP - SK-N-SH cells,,,
JUN,LIPE,mammarygland,"JUN IP | DEX, JUN IP | CPDA",,,
DEX,LIPE,mammarygland,"JUN IP | DEX, DEX | FOXA1 ChIP-Seq - Rep 1",,,
YY1,LIPE,lung,YY1 IP - A549 cells,,,
GABPA,LIPE,leukocytes,"GABPA IP - GM12878 cells, Rep 1 , GABPA IP - Jurkat, Rep 1, GABPA IP - Jurkat, Rep 2, GABPA IP - GM12878 cells, Rep 4 ",,,
CTCF,LIPE,mammarygland,"CTCF IP - T47D cells, CTCF IP - HMEC cells , CTCF IP - HMF cells, Rep 1 , CTCF IP - HMEC cells, Rep 1 , CTCF IP - HMF cells, Rep 2 , CTCF IP - MCF-7 cells Rep 2 , CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - HMEC cells, Rep 2 , CTCF IP - MCF7 cells",,,
GATA2,LIPE,prostate,"CON KD + R1881 | GATA2 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq, FOXA1 KD | GATA2 ChIP-Seq",,,
TAL1,LIPE,stemcells,TAL1 IP - Rep 1 ,,,
ZNF143,LIPE,leukocytes,"ZNF143 IP - GM12878 cells, ZNF143 IP - K562 cells",,,
YY1,LIPE,leukocytes,"YY1 IP - GM12878 cells, YY1 IP - GM12891 cells, YY1 IP - K562 cells, Rep 1, YY1 IP - GM12892 cells, Rep 1, YY1 IP - K562 cells, Rep 2",,,
EBF1,LIPE,adiposetissue,"EBF1 IP, EBF1 IP",,,
CTCF,LIPE,placenta,"CTCF IP - HVMF cells, Rep 1 , CTCF IP - HVMF cells, Rep 2 ",,,
STAT3,LIPE,leukocytes,"STAT3 IP - OCI-LY10, STAT3 IP - OCI-LY19, STAT3 IP - SU-DHL-10, STAT3 IP - U-2932, STAT3 IP - SU-DHL-4, STAT3 IP - OCI-LY3, STAT3 IP - SU-DHL-6, STAT3 IP - OCI-LY7",,,
EGR1,LIPE,colon,EGR1 IP - HCT116 cells,,,
BCL3,LIPE,leukocytes,BCL3 IP - GM12878 cells,,,
TCF12,LIPE,leukocytes,TCF12 IP - GM12878 cells,,,
TBP,LIPE,stemcells,TBP IP - H1 cells,,,
