TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
CTCF,ARSA,megakaryocytelineage,"CTCF IP - MEG-01 cells, Rep 8 , CTCF IP - MEG-01 cells, Rep 6 , CTCF IP - MEG-01 cells, Rep 2 , CTCF IP - MEG-01 cells, Rep 10 , CTCF IP - CHRF-288-11 cells, Rep 1 , CTCF IP - MEG-01 cells, Rep 4 ",,,
E2F6,ARSA,stemcells,E2F6 IP - H1 cells,,,
REST,ARSA,uterus,REST IP - ECC1 cells,,,
IRF4,ARSA,leukocytes,"IRF4 IP, IRF4 IP - GM12878 cells",,,
TCF7L2,ARSA,mammarygland,TCF7L2 ChIP-Seq,,,
SIX2,ARSA,kidney,"SIX2 IP - 17 weeks, Rep 2, SIX2 IP - 17 weeks, Rep 1",,,
MAX,ARSA,uterus,"MAX IP - HeLa cells, Rep 2, MAX IP - ECC1 cells, MAX IP - HeLa cells, Rep 1",,,
BCL11A,ARSA,leukocytes,BCL11A IP - GM12878 cells,,,
MAX,ARSA,colon,MAX IP - HCT116 cells,,,
REST,ARSA,colon,REST IP - HCT116 cells,,,
ELF1,ARSA,leukocytes,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells",,,
FOXA1,ARSA,stemcells,FOXA1 IP - Rep 5 ,,,
CEBPB,ARSA,colon,"CEBPB IP | 125DVD3, CEBPB IP",,,
125DVD3,ARSA,colon,CEBPB IP | 125DVD3,,,
ELF1,ARSA,mammarygland,ELF1 IP - MCF7 cells,,,
MXI1,ARSA,liver,MXI1 IP - HepG2 cells,,,
CREB1,ARSA,leukocytes,CREB1 IP - GM12878 cells,,,
RELA,ARSA,adiposetissue,"RELA IP, RELA IP",,,
SMAD1,ARSA,hspcs,SMAD1 IP - Rep 3,,,
BHLHE40,ARSA,leukocytes,"BHLHE40 IP - GM12878 cells, BHLHE40 IP - K562 cells",,,
NUTL3,ARSA,bone,TP53 IP | NUTL3,,,
RUNX1,ARSA,hspcs,RUNX1,,,
ZNF76,ARSA,kidney,ZNF76 IP | ZNF76 OE,,,
CTCF,ARSA,adiposetissue,"CTCF ChIP-Seq - d 9, CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 0, CTCF ChIP-Seq - d 3",,,
RUNX1,ARSA,leukocytes,"SPI1 IP | RUNX1 KD, RUNX1 IP - Rep 2, RUNX1 IP, RUNX1 IP - N terminus 1, RUNX1 IP",,,
TBP,ARSA,liver,TBP IP - HepG2 cells,,,
SP1,ARSA,lung,SP1 IP - A549 cells,,,
SPI1,ARSA,hspcs,"SPI1 IP -  Rep 1, SPI1 IP - Rep 2",,,
TP73,ARSA,bone,"TP73 IP - beta isoform, Rep 2",,,
CTCF,ARSA,bone,"CTCF IP, CTCF IP - Osteoblasts ",,,
E2F3,ARSA,colon,E2F3 IP ,,,
ELF3,ARSA,pancreas,"ELF3 IP, ELF3 IP, ELF3 IP | KLF5 KO",,,
JUN,ARSA,liver,JUN IP - HepG2 cells,,,
ROSI,ARSA,leukocytes,ROSI | SPI1 ChIP-Seq,,,
ERG,ARSA,prostate,DHT | ERG ChIP-Seq - 18 h,,,
DHT,ARSA,prostate,"DHT | ERG ChIP-Seq - 18 h, DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq",,,
CEBPB,ARSA,stemcells,"CEBPB IP - H1 cells, CEBPB IP",,,
KLF11,ARSA,adiposetissue,"KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2",,,
MXI1,ARSA,lung,MXI1 IP - IMR cells,,,
FOXA2,ARSA,embryonictissue,FOXA2 IP - Rep 2,,,
KLF4,ARSA,stemcells,KLF4 IP,,,
USF2,ARSA,liver,USF2 IP - HepG2 cells,,,
USF1,ARSA,colon,USF1 IP - HCT116 cells,,,
NFATC1,ARSA,leukocytes,NFATC1 IP - GM12878 cells,,,
