TF,TargetGene,Tissue,Chea,Signor,Trrust,Experiment,SPP_Pubmed,Pair,PS_frequency,Tissue_frequency,PS_Confidence,Tissue_Confidence
YY1,TECR,lung,,,,YY1 IP - A549 cells,24076218,YY1 -> TECR,4,4,medium,medium
YY1,TECR,uterus,,,,YY1 IP - ECC1 cells,,YY1 -> TECR,4,4,medium,medium
ZBTB7A,TECR,leukocytes,,,,ZBTB7A IP - SK-N-SH cells,24076218,ZBTB7A -> TECR,3,3,low,low
ZBTB7A,TECR,liver,,,,ZBTB7A IP - HepG2 cells,24076218,ZBTB7A -> TECR,3,3,low,low
ZBTB7A,TECR,uterus,,,,ZBTB7A IP - ECC1 cells,24076218,ZBTB7A -> TECR,3,3,low,low
ZEB1,TECR,liver,,,,ZEB1 IP - HepG2 cells,,ZEB1 -> TECR,1,1,low,low
ZKSCAN1,TECR,uterus,,,,ZKSCAN1 IP - HeLa cells,,ZKSCAN1 -> TECR,1,1,low,low
ZNF143,TECR,leukocytes,,,,ZNF143 IP - GM12878 cells,,ZNF143 -> TECR,1,1,low,low
ZNF384,TECR,leukocytes,,,,ZNF384 IP - K562 cells,,ZNF384 -> TECR,1,1,low,low
AR,TM7SF2,prostate,,,,"AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1",,AR -> TM7SF2,1,1,low,low
ATF1,TM7SF2,leukocytes,,,,ATF1 IP - K562 cells,,ATF1 -> TM7SF2,1,1,low,low
ATF2,TM7SF2,colon,,,,ATF2 IP,,ATF2 -> TM7SF2,3,3,low,low
ATF2,TM7SF2,leukocytes,,,,ATF2 IP - GM12878 cells,24076218,ATF2 -> TM7SF2,3,3,low,low
ATF2,TM7SF2,stemcells,,,,ATF2 IP - H1 cells,24076218,ATF2 -> TM7SF2,3,3,low,low
ATF3,TM7SF2,cns,23680149,,,,,ATF3 -> TM7SF2,5,5,medium,medium
ATF3,TM7SF2,colon,,,,ATF3 IP - HCT116 cells,,ATF3 -> TM7SF2,5,5,medium,medium
ATF3,TM7SF2,leukocytes,,,,ATF3 IP - K562 cells,,ATF3 -> TM7SF2,5,5,medium,medium
ATF3,TM7SF2,liver,,,,ATF3 IP - HepG2 cells,,ATF3 -> TM7SF2,5,5,medium,medium
ATF3,TM7SF2,stemcells,,,,ATF3 IP - H1 cells,,ATF3 -> TM7SF2,5,5,medium,medium
BACH1,TM7SF2,leukocytes,,,,BACH1 IP - K562 cells,,BACH1 -> TM7SF2,2,2,low,low
